CustomerID,SimilarCustomerID,Score
C0001,C0190,0.9912647529629056
C0001,C0048,0.9842450016525076
C0001,C0181,0.973421069413282
C0002,C0088,0.9882096291179894
C0002,C0134,0.977829003900955
C0002,C0106,0.9625602097353857
C0003,C0052,0.9954540647163328
C0003,C0152,0.9798869303157867
C0003,C0031,0.9614036135998254
C0004,C0155,0.979082392855963
C0004,C0165,0.9737072849570583
C0004,C0169,0.9359984003413486
C0005,C0186,0.9923534585032632
C0005,C0146,0.9854223454267681
C0005,C0007,0.9681639793971799
C0006,C0171,0.9736302577250256
C0006,C0168,0.9728332516003907
C0006,C0187,0.9688323578836533
C0007,C0140,0.9840745588232156
C0007,C0115,0.9714217298688865
C0007,C0005,0.9681639793971799
C0008,C0065,0.8506999978209526
C0008,C0059,0.7803269424721215
C0008,C0038,0.7800216668196388
C0009,C0010,0.9794339878870355
C0009,C0198,0.9745233886550639
C0009,C0062,0.9578065462946259
C0010,C0111,0.9884157937233694
C0010,C0103,0.9801821789273433
C0010,C0009,0.9794339878870355
C0011,C0137,0.9870783676904669
C0011,C0169,0.9696994620481924
C0011,C0126,0.9684866068322662
C0012,C0104,0.9728502618909235
C0012,C0113,0.969551357321831
C0012,C0195,0.9632487146936991
C0013,C0099,0.9888213299861242
C0013,C0108,0.960599061611563
C0013,C0107,0.8622081482204522
C0014,C0060,0.9810656885581219
C0014,C0166,0.8698206813595977
C0014,C0086,0.8139163257992915
C0015,C0036,0.9848418558168089
C0015,C0131,0.9814914124417436
C0015,C0094,0.8994780247581581
C0016,C0183,0.9999679063870699
C0016,C0067,0.9793916017902718
C0016,C0042,0.924649288153617
C0017,C0075,0.9775243266802688
C0017,C0081,0.930596629808193
C0017,C0057,0.9274322064710758
C0018,C0117,0.9770136976028093
C0018,C0046,0.9222654877082694
C0018,C0185,0.9116010259446802
C0019,C0121,0.9388207381740152
C0019,C0081,0.9197772856074639
C0019,C0132,0.830906648149445
C0020,C0050,0.9184653520597794
C0020,C0026,0.861347455654159
C0020,C0035,0.8591159908339536
